日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note,発音
My Own Fairy-Tale,My Own Fairy-Tale,My Own Fairy-Tale,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito,Ryota Saito,Ryota Saito,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Love U my friends,2019-10-02,https://youtu.be/a-WarIBtd3w,,マイ・オウン・フェアリーテイル
MELODY,MELODY,MELODY,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ,Ereca Suzuki,스즈키 에레카,鈴木まなか;Hiroki Sagawa,Manaka Suzuki;Hiroki Sagawa,스즈키 마나카;Hiroki Sagawa,サイトウ リョースケ,Ryosuke Saito,사이토 료스케,Love U my friends,2019-10-02,https://youtu.be/PvVgqYSsQ2Y,,メロディー
声繋ごうよ,Koe Tsunagou yo,목소리를 잇자,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito,Ryota Saito,Ryota Saito,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,Love U my friends,2019-10-02,https://youtu.be/gIBdVbN5QKs,,こえつなごうよ
テレテレパシー,Teletelepathy,텔레텔레파시,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA;クボナオキ,NOVECHIKA;Naoki Kubo,NOVECHIKA;쿠보 나오키,クボナオキ,Naoki Kubo,쿠보 나오키,縄田寿志,Hisashi Nawata,나와타 히사시,Love U my friends,2019-10-02,https://youtu.be/KZ0Wr3UIvMw,,テレテレパシー
Love U my friends,Love U my friends,Love U my friends,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Kanata Okajima,Kanata Okajima,Kanata Okajima,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Love U my friends,2019-10-02,https://youtu.be/fNEuJHgPMtM,9 Members Ver.,ラブ・ユー・マイ・フレンズ
SUPER NOVA,SUPER NOVA,SUPER NOVA,DiverDiva,DiverDiva,DiverDiva,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,SUPER NOVA,2020-02-12,https://youtu.be/dso45gIdbjA,DiverDiva 1st,スーパーノヴァ
Love Triangle,Love Triangle,Love Triangle,DiverDiva,DiverDiva,DiverDiva,Ayaka Miyake;栗原暁(Jazzin'park),Ayaka Miyake;Satoru Kurihara(Jazzin'park),Ayaka Miyake;쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park);栗原暁(Jazzin'park),Singo Kubota(Jazzin'park);Satoru Kurihara(Jazzin'park),쿠보타 신고(Jazzin'park);쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park),Singo Kubota(Jazzin'park),쿠보타 신고(Jazzin'park),SUPER NOVA,2020-02-12,https://youtu.be/WBETX2ONF8w,DiverDiva 1st,ラブ トライアングル
Dream Land ! Dream World ! ,Dream Land! Dream World!,Dream Land! Dream World!,A·ZU·NA,A·ZU·NA,A·ZU·NA,hot tears,hot tears,hot tears,景山将太,Shota Kageyama,카게야마 쇼타,MEGAneCOMIC,MEGAneCOMIC,MEGAneCOMIC,Dream Land ! Dream World ! ,2020-02-12,https://youtu.be/TRzHibBAFJs,A·ZU·NA 1st,ドリームランド！ドリームワールド！
Cheer for you!!,Cheer for you!!,Cheer for you!!,A·ZU·NA,A·ZU·NA,A·ZU·NA,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,Dream Land ! Dream World ! ,2020-02-12,https://youtu.be/8EoUknt_Ji4,A·ZU·NA 1st,チア・フォー・ユー！！
Sing & Smile!!,Sing & Smile!!,Sing & Smile!!,QU4RTZ,QU4RTZ,QU4RTZ,Carlos K.,Carlos K.,Carlos K.,丸谷マナブ;Carlos K.,Manabu Marutani;Carlos K.,마루타니 마나부;Carlos K.,Carlos K.,Carlos K.,Carlos K.,Sing & Smile!!,2020-02-12,https://youtu.be/9SEiiwiiha4,QU4RTZ 1st,シング アンド スマイル
Beautiful Moonlight,Beautiful Moonlight,Beautiful Moonlight,QU4RTZ,QU4RTZ,QU4RTZ,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,ygarshy,ygarshy,ygarshy,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,Sing & Smile!!,2020-02-12,https://youtu.be/CQdEPi9UJvY,QU4RTZ 1st,ビューティフルムーンライト
無敵級*ビリーバー,Muteki-kyuu*Believer,무적급*빌리버,中須かすみ,Kasumi Nakasu,나카스 카스미,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,DECO*27,DECO*27,DECO*27,Rockwell,Rockwell,Rockwell,無敵級*ビリーバー,2020-07-29,https://youtu.be/-Li6HT1mv0U,,むてききゅうビリーバー
未来ハーモニー,Mirai Harmony,미래 하모니,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Kanata Okajima,Kanata Okajima,Kanata Okajima,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,無敵級*ビリーバー,2020-07-29,https://youtu.be/H2VuAyjWDyU,,みらいハーモニー
Say Good-Bye 涙,Say Good-Bye Namida,Say Good-Bye 눈물,上原歩夢,Ayumu Uehara,우에하라 아유무,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,遠藤ナオキ,Naoki Endo,엔도 나오키,Just Believe!!!,2020-09-02,https://youtu.be/vkQ3UdLk3hw,,セイ グッバイ なみだ
Margaret,Margaret,Margaret,中須かすみ,Kasumi Nakasu,나카스 카스미,鈴木エレカ,Ereca Suzuki,스즈키 에레카,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Just Believe!!!,2020-09-02,https://youtu.be/wejUZYmLkqc,,マーガレット
やがてひとつの物語,Yagate Hitotsu no Monogatari,이윽고 하나의 이야기,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,月見草,Tsukimisou,츠키미소오,月見草,Tsukimisou,츠키미소오,菊地博人,Hiroto Kikuchi,키쿠치 히로토,Just Believe!!!,2020-09-02,https://youtu.be/JvURKZQdCDs,,やがてひとつのものがたり
Fire Bird,Fire Bird,Fire Bird,朝香果林,Karin Asaka,아사카 카린,BEATNINE,BEATNINE,BEATNINE,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Just Believe!!!,2020-09-02,https://youtu.be/8bjQg-RUiRc,,ファイアバード
楽しいの天才,Tanoshii no Tensai,즐거움의 천재,宮下 愛,Ai Miyashita,미야시타 아이,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Carlos K.,Carlos K.,Carlos K.,Just Believe!!!,2020-09-02,https://youtu.be/ZnyCUODvfKQ,,たのしいのてんさい
Märchen Star,Märchen Star,메르헨 스타,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito,Ryota Saito,Ryota Saito,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Just Believe!!!,2020-09-02,https://youtu.be/4PhvNBMo9iY,,メルヘンスター
LIKE IT! LOVE IT!,LIKE IT! LOVE IT!,LIKE IT! LOVE IT!,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ,Ereca Suzuki,스즈키 에레카,鈴木まなか;Hiroki Sagawa;要田健,Manaka Suzuki;Hiroki Sagawa;Takeru Yoda,스즈키 마나카;Hiroki Sagawa;요다 타케루,要田健,Takeru Yoda,요다 타케루,Just Believe!!!,2020-09-02,https://youtu.be/RINkOGcXJKQ,,ライク イット！ ラブ イット！
哀温ノ詩,Aion no Uta,애온의 시,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito,Ryota Saito,Ryota Saito,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,Just Believe!!!,2020-09-02,https://youtu.be/cbmJLrkdv3c,,あいおんのうた
アナログハート,Analog Heart,아날로그 하트,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA,NOVECHIKA,NOVECHIKA,藤原彩豊;米澤森人,Ayato Fujiwara;Morito Yonezawa,후지와라 아야토;요네자와 모리토,JOE;藤原彩豊,JOE;Ayato Fujiwara,JOE;후지와라 아야토,Just Believe!!!,2020-09-02,https://youtu.be/5LSOw13RGKs,,アナログハート
決意の光,Ketsui no Hikari,결의의 빛,三船栞子,Shioriko Mifune,미후네 시오리코,中村 歩;菊池博人,Ayumu Nakamura;Hiroto Kikuchi,나카무라 아유무;키쿠치 히로토,中村 歩;菊池博人,Ayumu Nakamura;Hiroto Kikuchi,나카무라 아유무;키쿠치 히로토,中村 歩;菊池博人,Ayumu Nakamura;Hiroto Kikuchi,나카무라 아유무;키쿠치 히로토,Just Believe!!!,2020-09-02,https://youtu.be/I8JYMvUpTI4,,けついのひかり
TOKIMEKI Runners (スクスタストーリー17章揷入歌Ver.),TOKIMEKI Runners (SIFAS Chapter 17 Ver.),TOKIMEKI Runners (스쿠스타 스토리 챕터 17 Ver.),虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,畑 亜貴,Aki Hata,하타 아키,矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),Just Believe!!!,2020-09-02,https://youtu.be/RMJ1TT5Gh1g,10 Members Ver.,ときめきランナーズ (スクスタストーリー17しょう そうにゅうかヴァージョン)
Just Believe!!!,Just Believe!!!,Just Believe!!!,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,Just Believe!!!,2020-09-02,https://youtu.be/eXdOdtfAv6M,,ジャストビリーブ!!
虹色Passions!,Nijiiro Passions!,무지개색 Passions!,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,虹色Passions!,2020-10-21,https://youtu.be/KAEEhyfWtrw,,にじいろパッションズ!!
Sweet Eyes,Sweet Eyes,Sweet Eyes,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Carlos K.;田中マッシュ,Carlos K.;Tanaka Mush,Carlos K.;타나카 맛슈,Carlos K.;田中マッシュ,Carlos K.;Tanaka Mush,Carlos K.;타나카 맛슈,虹色Passions!,2020-10-21,https://youtu.be/MpAUJ36fq3g,,スウィートアイズ
"NEO SKY, NEO MAP!","NEO SKY, NEO MAP!","NEO SKY, NEO MAP!",虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,畑 亜貴,Aki Hata,하타 아키,小高光太郎;UiNA,Kotaro Odaka;UiNA,오다카 코타로;UiNA,小高光太郎;谷 ナオキ,Kotaro Odaka;Naoki Tani,오다카 코타로;타니 나오키,"NEO SKY, NEO MAP!",2020-11-04,https://youtu.be/m1ilXQbtizc,,ネオスカイ ネオマップ!
全速ドリーマー,Zensoku Dreamer,전속 드리머,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,DAICHI;Shunsuke Harada,DAICHI;Shunsuke Harada,DAICHI;Shunsuke Harada,Shunsuke Harada,Shunsuke Harada,Shunsuke Harada,"NEO SKY, NEO MAP!",2020-11-04,https://youtu.be/lGnNjhTRQVw,,ぜんそくドリーマー
Dream with You,Dream with You,Dream with You,上原歩夢,Ayumu Uehara,우에하라 아유무,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,mitsuyuki miyake;Carlos K.,mitsuyuki miyake;Carlos K.,mitsuyuki miyake;Carlos K.,mitsuyuki miyake;Carlos K.,mitsuyuki miyake;Carlos K.,mitsuyuki miyake;Carlos K.,Dream with You / Poppin' Up! / DIVE!,2020-11-18,https://youtu.be/0cGBTbjvwuo,,ドリーム ウィズ ユー
Poppin' Up!,Poppin' Up!,Poppin' Up!,中須かすみ,Kasumi Nakasu,나카스 카스미,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,クボナオキ,Naoki Kubo,쿠보 나오키,縄田寿志,Hisashi Nawata,나와타 히사시,Dream with You / Poppin' Up! / DIVE!,2020-11-18,https://youtu.be/vGtXstAHlXU,,ポッピンアップ！
DIVE!,DIVE!,DIVE!,優木せつ菜,Setsuna Yuki,유키 세츠나,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,MOMIKEN,MOMIKEN,MOMIKEN,tasuku,tasuku,tasuku,Dream with You / Poppin' Up! / DIVE!,2020-11-18,https://youtu.be/krzru9NkedE,,ダイブ！
サイコーハート,Saikou Heart,사이코 하트,宮下 愛,Ai Miyashita,미야시타 아이,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,サイコーハート / La Bella Patria / ツナガルコネクト,2020-12-02,https://youtu.be/rFol2afue0Q,,サイコーハート
La Bella Patria,La Bella Patria,La Bella Patria,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,齊藤庸介,Yosuke Saito,사이토 요스케,齊藤庸介,Yosuke Saito,사이토 요스케,サイコーハート / La Bella Patria / ツナガルコネクト,2020-12-02,https://youtu.be/i-NzrXpwJoA,,ラ・ベラ・パトリア
ツナガルコネクト,Tsunagaru Connect,이어지는 커넥트,天王寺璃奈,Rina Tennoji,텐노지 리나,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,DECO*27,DECO*27,DECO*27,ポリスピカデリー,POLICE PICCADILLY,폴리스 피카딜리,サイコーハート / La Bella Patria / ツナガルコネクト,2020-12-02,https://youtu.be/Kzr_xuqqh-M,,ツナガルコネクト
Butterfly,Butterfly,Butterfly,近江彼方,Kanata Konoe,코노에 카나타,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Em.me,Em.me,Em.me,Em.me,Em.me,Em.me,Butterfly / Solitude Rain / VIVID WORLD,2020-12-16,https://youtu.be/aoRBp5C_ZyI,,バタフライ
Solitude Rain,Solitude Rain,Solitude Rain,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,JOE,JOE,JOE,Butterfly / Solitude Rain / VIVID WORLD,2020-12-16,https://youtu.be/8yyMnAK2Ki4,,ソリチュードレイン
VIVID WORLD,VIVID WORLD,VIVID WORLD,朝香果林,Karin Asaka,아사카 카린,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Luis Ogata,Luis Ogata,Luis Ogata,TeddyLoid,TeddyLoid,TeddyLoid,Butterfly / Solitude Rain / VIVID WORLD,2020-12-16,https://youtu.be/FFyWNOU82Vw,,ビビッドワールド
POWER SPOT!!,POWER SPOT!!,POWER SPOT!!,DiverDiva,DiverDiva,DiverDiva,鈴木エレカ,Ereca Suzuki,스즈키 에레카,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,TVA1 BD Vol.1,2020-12-24,https://youtu.be/_0XMKlwsnn0,TVA1 BD Vol.1,パワースポット!!
Awakening Promise,Awakening Promise,Awakening Promise,上原歩夢,Ayumu Uehara,우에하라 아유무,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Awakening Promise / 夢がここからはじまるよ,2021-01-13,https://youtu.be/YSYg3LKAMgA,,アウェイクニング・プロミス
夢がここからはじまるよ,Yume ga Koko Kara Hajimaru yo,꿈이 이곳에서부터 이어져,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,中村 歩;野口大志,Ayumu Nakamura;Taishi Noguchi,나카무라 아유무;노구치 타이시,中村 歩;野口大志,Ayumu Nakamura;Taishi Noguchi,나카무라 아유무;노구치 타이시,Awakening Promise / 夢がここからはじまるよ,2021-01-13,https://youtu.be/02tMRFTzMlw,,ゆめがここからはじまるよ
Kakushiaji!,Kakushiaji!,Kakushiaji!,A·ZU·NA,A·ZU·NA,A·ZU·NA,nana hatori,nana hatori,nana hatori,PASSiON KiNG;サイトウリョースケ;nana hatori,PASSiON KiNG;Ryosuke Saito;nana hatori,PASSiON KiNG;사이토 료스케;nana hatori,サイトウリョースケ,Ryosuke Saito,사이토 료스케,TVA1 BD Vol.2,2021-01-27,https://youtu.be/tn5iqBFBJRw,TVA1 BD Vol.2,かくしあじ!
Make-up session ABC,Make-up session ABC,Make-up session ABC,QU4RTZ,QU4RTZ,QU4RTZ,要田健,Takeru Yoda,요다 타케루,須田悦弘;要田健,Yoshihiro Suda;Takeru Yoda,스다 요시히로;요다 타케루,須田悦弘,Yoshihiro Suda,스다 요시히로,TVA1 BD Vol.3,2021-02-25,https://youtu.be/zqVgZ7obL5U,TVA1 BD Vol.3,メイクアップセッション エービーシー
祭花 -saika-,Saika,제화 -saika-,DiverDiva,DiverDiva,DiverDiva,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,TVA1 BD Vol.4,2021-03-26,https://youtu.be/nxmL6vt0m10,TVA1 BD Vol.4,さいか
Happy Nyan! Days,Happy Nyan! Days,Happy Nyan! Days,A·ZU·NA,A·ZU·NA,A·ZU·NA,nana hatori,nana hatori,nana hatori,PASSiON KiNG;Rico,PASSiON KiNG;Rico,PASSiON KiNG;Rico,PASSiON KiNG;JOE,PASSiON KiNG;JOE,PASSiON KiNG;JOE,TVA1 BD Vol.5,2021-04-27,https://youtu.be/OicyCCqlJkU,TVA1 BD Vol.5,ハッピーニャン！デイズ
Twinkle Town,Twinkle Town,Twinkle Town,QU4RTZ,QU4RTZ,QU4RTZ,Rico,Rico,Rico,Rico;田中マッシュ,Rico;Tanaka Mush,Rico;타나카 맛슈,田中マッシュ,Tanaka Mush,타나카 맛슈,TVA1 BD Vol.6,2021-05-26,https://youtu.be/O_KyCCsHzK8,TVA1 BD Vol.6,ツインクルタウン
THE SECRET NiGHT,THE SECRET NiGHT,THE SECRET NiGHT,DiverDiva,DiverDiva,DiverDiva,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,THE SECRET NiGHT,2021-05-26,https://youtu.be/v5ZslcBjbq8,DiverDiva 2nd,ザ・シークレット・ナイト
Fly into the sky,Fly into the sky,Fly into the sky,DiverDiva,DiverDiva,DiverDiva,miyakei,miyakei,miyakei,Em.me,Em.me,Em.me,Em.me,Em.me,Em.me,THE SECRET NiGHT,2021-05-26,https://youtu.be/gWSAmlTD4wo,DiverDiva 2nd,フライ・イントゥ・ザ・スカイ
Maze Town,Maze Town,Maze Town,A·ZU·NA,A·ZU·NA,A·ZU·NA,米澤森人;藤原彩豊,Morito Yonezawa;Ayato Fujiwara,요네자와 모리토;후지와라 아야토,米澤森人;藤原彩豊;サイトウリョースケ;PASSiON KiNG,Morito Yonezawa;Ayato Fujiwara;Ryosuke Saito;PASSiON KiNG,요네자와 모리토;후지와라 아야토;사이토 료스케;PASSiON KiNG,藤原彩豊;サイトウリョースケ;PASSiON KiNG,Ayato Fujiwara;Ryosuke Saito;PASSiON KiNG,후지와라 아야토;사이토 료스케;PASSiON KiNG,Maze Town,2021-06-16,https://youtu.be/FE2ykAqHdEc,A·ZU·NA 2nd,メイズタウン
フォルクロア 〜歓喜の歌〜,Folklore ~Kanki no Uta~,포크로어 ~환희의 노래~,A·ZU·NA,A·ZU·NA,A·ZU·NA,村木海季男,Mikio Muraki,무라키 미키오,ソラノアルト,Soranoalto,소라노알토,ソラノアルト,Soranoalto,소라노알토,Maze Town,2021-06-16,https://youtu.be/N9_pIJEqL_4,A·ZU·NA 2nd,フォルクロア かんきのうた
