日本語,Romaji,한국어,声優,Seiyuu,성우,Unit
高坂穂乃果,Honoka Kosaka,코사카 호노카,新田 恵海,Emmy Nitta,닛타 에미,Printemps
絢瀬絵里,Eli Ayase,아야세 에리,南條 愛乃,Yoshino Nanjo,난죠 요시노,BiBi
南ことり,Kotori Minami,미나미 코토리,内田 彩,Aya Uchida,우치다 아야,Printemps
園田海未,Umi Sonoda,소노다 우미,三森 すずこ,Suzuko Mimori,미모리 스즈코,lily white
星空凛,Rin Hoshizora,호시조라 린,飯田 里穂,Riho Iida,이이다 리호,lily white
西木野真姫,Maki Nishikino,니시키노 마키,Pile,Pile,Pile,BiBi
東條希,Nozomi Tojo,토죠 노조미,楠田 亜衣奈,Aina Kusuda,쿠스다 아이나,lily white
小泉花陽,Hanayo Koizumi,코이즈미 하나요,久保ユリカ,Yurika Kubo,쿠보 유리카,Printemps
矢澤にこ,Nico Yazawa,야자와 니코,徳井 青空,Sora Tokui,토쿠이 소라,BiBi
