日本語,Romaji,한국어,声優,Seiyuu,성우,Unit
高海千歌,Chika Takami,타카미 치카,伊波 杏樹,Anju Inami,이나미 안쥬,CYaRon!
桜内梨子,Riko Sakurauchi,사쿠라우치 리코,逢田 梨香子,Rikako Aida,아이다 리카코,Guilty Kiss
松浦果南,Kanan Matsuura,마츠우라 카난,諏訪 ななか,Nanaka Suwa,스와 나나카,AZALEA
黒澤ダイヤ,Dia Kurosawa,쿠로사와 다이아,小宮有紗,Arisa Komiya,코미야 아리사,AZALEA
渡辺曜,You Watanabe,와타나베 요우,斉藤朱夏,Shuka Saito,사이토 슈카,CYaRon!
津島善子,Yoshiko Tsushima,츠시마 요시코,小林愛香,Aika Kobayashi,코바야시 아이카,Guilty Kiss
国木田花丸,Hanamaru Kunikida,쿠니키다 하나마루,高槻かなこ,Kanako Takatsuki,타카츠키 카나코,AZALEA
小原鞠莉,Mari Ohara,오하라 마리,鈴木 愛奈,Aina Suzuki,스즈키 아이나,Guilty Kiss
黒澤ルビィ,Ruby Kurosawa,쿠로사와 루비,降幡愛,Ai Furihata,후리하타 아이,CYaRon!
