日本語,Romaji,한국어,声優,Seiyuu,성우,Unit
日野下花帆,Kaho Hinoshita,히노시타 카호,楡井 希実,Nozomi Nirei,니레이 노조미,スリーズブーケ
村野さやか,Sayaka Murano,무라노 사야카,野中ここな,Kokona Nonaka,노나카 코코나,スリーズブーケ
乙宗梢,Kozue Otomune,오토무네 코즈에,花宮 初奈,Nina Hanamiya,하나미야 니나,DOLLCHESTRA
夕霧綴理,Tsuzuri Yugiri,유기리 츠즈리,佐々木 琴子,Kotoko Sasaki,사사키 코토코,DOLLCHESTRA
大沢瑠璃乃,Rurino Osawa,오사와 루리노,菅 叶和,Kanna Kan,칸 칸나,みらくらぱーく！
藤島慈,Megumi Fujishima,후지시마 메구미,月音こな,Kona Tsukine,츠키네 코나,みらくらぱーく！
