日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
ノンフィクション！！,Nonfiction!!,논픽션!!,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,モン吉;田中隼人,Monkichi;Hayato Tanaka,몬키치;타나카 하야토,田中隼人,Hayato Tanaka,타나카 하야토,ノンフィクション！！ / Starlight Prologue,2021-10-20,https://youtu.be/4_06v7iS7bQ,
Starlight Prologue,Starlight Prologue,Starlight Prologue,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,山下洋介;兼松 衆,Yosuke Yamashita;Shu Kanematsu,야마시타 요스케;카네마츠 슈,ノンフィクション！！ / Starlight Prologue,2021-10-20,https://youtu.be/H8PhMQrfEVA,
Day1,Day1,Day1,Liella!,Liella!,Liella!,KEN THE 390,KEN THE 390,KEN THE 390,めんま;KEN THE 390,Menma;KEN THE 390,멘마;KEN THE 390,家原正樹,Masaki Iehara,이에하라 마사키,ノンフィクション！！ / Starlight Prologue,2021-10-20,https://youtu.be/5UfSQq7C26M,
Dream Rainbow,Dream Rainbow,Dream Rainbow,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,山下洋介,Yosuke Yamashita,야마시타 요스케,ノンフィクション！！ / Starlight Prologue,2021-10-20,https://youtu.be/O3HmG2RX0Mk,
Oh！レディ・ステディ・ポジティブ,Oh! Ready Steady Positive,Oh! 레디・스테디・포지티브,唐可可,Keke Tang,탕 쿠쿠,宮嶋淳子,Junko Miyajima,미야지마 준코,宮野弦士,Gento Miyano,미야노 겐토,宮野弦士,Gento Miyano,미야노 겐토,TVA1 BD Vol.2,2021-10-27,NA,TVA1 BD Vol.2
Primary,Primary,Primary,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/Y1Dl389GoCo,
Memories,Memories,Memories,澁谷かのん,Kanon Shibuya,시부야 카논,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/vKEs-n2BP7c,Kanon Ver.
Memories,Memories,Memories,嵐千砂都,Chisato Arashi,아라시 치사토,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/2R1OEtTHLcQ,Chisato Ver.
Anniversary,Anniversary,Anniversary,唐可可,Keke Tang,탕 쿠쿠,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/qiX_9lbpfZI,Keke Ver.
Anniversary,Anniversary,Anniversary,葉月恋,Ren Hazuki,하즈키 렌,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/AiVVeTQJiLA,Ren Ver.
Message,Message,Message,平安名すみれ,Sumire Heanna,헤안나 스미레,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/sAF-cLDVqmk,Sumire Ver.
Message,Message,Message,澁谷かのん,Kanon Shibuya,시부야 카논,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/6NXzNu5leSk,Kanon Ver.
Ringing!,Ringing!,Ringing!,嵐千砂都,Chisato Arashi,아라시 치사토,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/SPM0hSSUh10,Chisato Ver.
Ringing!,Ringing!,Ringing!,唐可可,Keke Tang,탕 쿠쿠,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/RZU9dG1eEAk,Keke Ver.
Dears,Dears,Dears,葉月恋,Ren Hazuki,하즈키 렌,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/Vmzt8gpiVDU,Ren Ver.
Dears,Dears,Dears,平安名すみれ,Sumire Heanna,헤안나 스미레,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/Yz_cx8KkbCA,Sumire Ver.
Departure,Departure,Departure,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,森 悠也,Yuya Mori,모리 유야,リエラのうた,2021-10-27,https://youtu.be/AuZvn_JEbyA,
LIVE with a smile!,LIVE with a smile!,LIVE with a smile!,Aqours・虹ヶ咲学園スクールアイドル同好会・Liella!,Aqours・Nijigasaki High School Idol Club・Liella!,Aqours・니지가사키 학원 스쿨 아이돌 동호회・Liella!,畑 亜貴,Aki Hata,하타 아키,Ryota Saito;Diz,Ryota Saito;Diz,사이토 료타;Diz,EFFY(FirstCall),EFFY(FirstCall),EFFY(FirstCall),LIVE with a smile!,2021-11-03,https://youtu.be/n-4U4iM4CL8,LoveLive! Series Presents COUNTDOWN LoveLive! 2021 -> 2022 ~LIVE with a smile!~ Theme Song
LIVE with a smile! (Liella! Ver.),LIVE with a smile! (Liella! Ver.),LIVE with a smile! (Liella! Ver.),Liella!,Liella!,Liella!,畑 亜貴,Aki Hata,하타 아키,Ryota Saito;Diz,Ryota Saito;Diz,사이토 료타;Diz,EFFY(FirstCall),EFFY(FirstCall),EFFY(FirstCall),LIVE with a smile!,2021-11-03,https://youtu.be/f2Dv1LPGrWA,LoveLive! Series Presents COUNTDOWN LoveLive! 2021 -> 2022 ~LIVE with a smile!~ Theme Song
Shooting Voice!!,Shooting Voice!!,Shooting Voice!!,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,小幡康裕,Yasuhiro Obata,오바타 야스히로,出羽良彰,Yoshiaki Dewa,데와 요시아키,not ALONE not HITORI / ミラクル STAY TUNE！ / Shooting Voice!! 【Liella!盤】,2021-11-24,https://youtu.be/0Dy5FvpIC4Q,「ラブライブ！シリーズのオールナイトニッポンGOLD」 タイアップ企画スプリットシングル
